WP_011270593.1,Q887Q9.1,210.0,32.849
WP_011270594.1,A8F2H0.1,502.0,88.235
WP_011270595.1,A8GPI0.1,489.0,95.161
WP_011270596.1,Q9JVQ5.1,330.0,40.326
WP_011270599.1,P64924.1,305.0,43.49
WP_011270600.1,C4K2K1.1,903.0,96.868
WP_011270602.1,P0A1A9.1,172.0,35.581
WP_011270606.1,Q39D34.1,80.9,29.464
WP_011270607.1,Q92GU9.1,572.0,96.284
WP_011270611.1,B7GLK2.1,223.0,46.122
WP_011270614.1,Q92GV1.1,140.0,97.143
WP_011270619.1,Q9UMS0.2,191.0,49.735
WP_011270620.1,A8GCA1.1,143.0,48.571
WP_011270622.1,Q92GV7.1,889.0,97.788
WP_011270625.1,Q92GW0.1,940.0,97.826
WP_011270627.1,Q7MH13.1,141.0,35.065
WP_011270628.1,A8GT71.1,803.0,98.985
WP_011270629.1,P48850.1,210.0,99.048
WP_011270630.1,A8GT69.1,437.0,98.605
WP_011270631.1,C4K2H8.1,417.0,98.551
WP_011270632.1,C4K2H7.1,193.0,98.98
WP_011270633.1,Q92GW9.1,552.0,99.267
WP_011270634.1,A8EZL1.1,235.0,96.639
WP_011270635.1,Q92GX2.1,446.0,98.157
WP_011270636.1,A8F2E0.2,271.0,99.265
WP_011270638.1,A8GT58.1,187.0,99.083
WP_011270639.1,A8GPD8.1,359.0,98.324
WP_011270640.1,A8GPD7.1,199.0,99.01
WP_011270641.1,Q92GY0.1,271.0,99.242
WP_011270642.1,C3PP92.1,348.0,98.305
WP_011270643.1,Q92GY2.1,226.0,96.61
WP_011270644.1,A8GPD3.1,350.0,98.864
WP_011270646.1,Q9ZCS4.1,269.0,89.542
WP_011270647.1,Q92GY6.1,863.0,98.845
WP_011270648.1,Q92GY7.1,421.0,97.642
WP_011270649.1,A8GPC8.1,250.0,98.4
WP_011270650.1,Q92GZ0.1,694.0,98.235
WP_011270651.1,A8F2C2.1,256.0,99.206
WP_011270652.1,A8GPC4.1,167.0,97.778
WP_011270653.1,Q8CY42.1,72.5,46.835
WP_011270654.1,P0C0L8.1,180.0,29.736
WP_011270655.1,Q57711.3,110.0,27.682
WP_011270664.1,Q4UNE0.1,254.0,42.434
WP_011270665.1,P80011.1,64.9,39.744
WP_011270668.1,A8GMJ8.1,344.0,94.286
WP_011270669.1,O33519.2,611.0,96.37
WP_011270672.1,Q3V384.1,173.0,31.234
WP_011270673.1,P43934.1,56.4,30.631
WP_011270674.1,Q92IY7.1,625.0,82.24
WP_011270675.1,Q57180.1,330.0,38.797
WP_011270676.1,P94364.1,275.0,35.111
WP_011270677.1,Q47149.1,98.6,52.381
WP_011270678.1,Q47150.1,63.5,33.721
WP_011270679.1,P94365.1,132.0,29.042
WP_011270680.1,Q92IX8.1,532.0,94.717
WP_011270681.1,Q92IX7.1,728.0,83.01
WP_011270682.1,A8GML2.1,458.0,94.915
WP_011270686.1,P50938.2,587.0,63.261
WP_011270687.1,A8GP91.1,213.0,89.831
WP_011270688.1,A8GP90.1,85.1,95.455
WP_011270689.1,Q92H37.1,233.0,96.581
WP_011270690.1,Q9ZCV2.1,406.0,86.222
WP_011270691.1,A8EY64.1,393.0,94.608
WP_011270692.1,A8GP84.1,331.0,93.514
WP_011270694.1,P37518.1,407.0,56.25
WP_011270697.1,Q68WD6.1,655.0,86.816
WP_011270699.1,O23179.2,100.0,28.291
WP_011270702.1,Q4UN61.1,64.0,58.621
WP_011270703.1,Q92H56.1,940.0,99.568
WP_011270704.1,Q9AKI4.1,241.0,92.683
WP_011270705.1,Q54B20.1,64.0,42.857
WP_011270706.1,Q92H58.1,2159.0,93.304
WP_011270707.1,Q92H59.1,679.0,69.143
WP_011270708.1,Q9AKP1.1,833.0,89.755
WP_011270709.1,A8F278.2,698.0,98.615
WP_011270712.1,P0C7I8.1,274.0,61.722
WP_011270713.1,B0RVK4.1,310.0,63.319
WP_011270720.1,O70511.3,297.0,33.643
WP_011270723.1,O67012.1,105.0,37.107
WP_011270735.1,O86235.1,55.3,29.101
WP_011270736.1,Q9ZCT3.1,624.0,92.0
WP_011270737.1,Q92GZ5.1,353.0,96.61
WP_011270738.1,Q92GZ7.1,478.0,95.397
WP_011270742.1,P96587.1,104.0,28.794
WP_011270743.1,A8GPB7.1,185.0,96.842
WP_011270744.1,A8GPB6.1,1029.0,97.248
WP_011270745.1,P55133.1,127.0,45.669
WP_011270748.1,Q9ZCT8.1,888.0,89.633
WP_011270749.1,A8GPB1.1,451.0,91.176
WP_011270750.1,P39832.3,122.0,27.309
WP_011270752.1,A8AP56.1,575.0,41.061
WP_011270753.1,Q3J4E3.1,726.0,67.197
WP_011270754.1,P05165.4,596.0,45.889
WP_011270757.1,Q1RIY2.1,258.0,48.758
WP_011270758.1,Q92H19.2,2118.0,92.029
WP_011270761.1,A8EY51.1,135.0,98.485
WP_011270762.1,Q92H24.1,1173.0,96.477
WP_011270768.1,Q9CLC4.1,178.0,31.153
WP_011270771.1,A5VPI9.1,115.0,37.158
WP_011270772.1,Q5HRH0.1,105.0,33.333
WP_011270773.1,O52177.1,106.0,36.667
WP_011270774.1,P40862.2,122.0,26.542
WP_011270777.1,Q58823.1,52.2,29.646
